title,artist,year,popularity,tags,phrases
Come Together,The Beatles,1967,87,"rock,classic,60s,pop","come together,right now,over me"
Here Comes the Sun,The Beatles,1965,88,"rock,classic,60s,pop","sun,little darling,long cold lonely winter"
Something,The Beatles,1967,89,"rock,classic,60s,pop","something,way she moves,attracts me"
Let It Be,The Beatles,1972,94,"rock,classic,60s,pop","let it be,words of wisdom,mother mary"
Hey Jude,The Beatles,1968,94,"rock,classic,60s,pop","hey jude,don't be afraid,sad song"
Yesterday,The Beatles,1968,91,"rock,classic,60s,pop","yesterday,troubles,far away"
A Day in the Life,The Beatles,1965,88,"rock,classic,60s,pop","read the news,blew his mind,holes"
In My Life,The Beatles,1970,93,"rock,classic,60s,pop","places,remember,love you more"
Help!,The Beatles,1968,93,"rock,classic,60s,pop","help,need somebody,younger days"
Norwegian Wood,The Beatles,1972,89,"rock,classic,60s,pop","norwegian wood,sitar,isn't it good"
Lucy in the Sky with Diamonds,The Beatles,1966,85,"rock,classic,60s,pop","lucy,diamonds,tangerine trees"
Strawberry Fields Forever,The Beatles,1967,86,"rock,classic,60s,pop","strawberry fields,nothing is real,living is easy"
Penny Lane,The Beatles,1973,96,"rock,classic,60s,pop","penny lane,barber,photographs"
Revolution,The Beatles,1973,86,"rock,classic,60s,pop","revolution,change,count me out"
Blackbird,The Beatles,1972,96,"rock,classic,60s,pop","blackbird,broken wings,arise"
While My Guitar Gently Weeps,The Beatles,1968,96,"rock,classic,60s,pop","guitar,weeps,look at you all"
Eleanor Rigby,The Beatles,1968,98,"rock,classic,60s,pop","eleanor rigby,lonely people,face in a jar"
All You Need Is Love,The Beatles,1973,88,"rock,classic,60s,pop","love is all,easy,learn"
Across the Universe,The Beatles,1974,95,"rock,classic,60s,pop","across universe,nothing gonna change,jai guru deva"
The Long and Winding Road,The Beatles,1973,96,"rock,classic,60s,pop","long winding road,door,crying"
Blue Song,Beatles,1969,99,"rock,pop,60s","blue,song,beatles"
Red Song,Beatles,1966,87,"rock,pop,60s","red,song,beatles"
Golden Song,Beatles,1967,92,"rock,pop,60s","golden,song,beatles"
Silver Song,Beatles,1973,97,"rock,pop,60s","silver,song,beatles"
Dark Song,Beatles,1966,90,"rock,pop,60s","dark,song,beatles"
Bright Song,Beatles,1974,97,"rock,pop,60s","bright,song,beatles"
Sweet Song,Beatles,1973,90,"rock,pop,60s","sweet,song,beatles"
Wild Song,Beatles,1965,95,"rock,pop,60s","wild,song,beatles"
Free Song,Beatles,1974,92,"rock,pop,60s","free,song,beatles"
Lost Song,Beatles,1968,91,"rock,pop,60s","lost,song,beatles"
Found Song,Beatles,1972,98,"rock,pop,60s","found,song,beatles"
True Song,Beatles,1965,95,"rock,pop,60s","true,song,beatles"
Faded Song,Beatles,1971,86,"rock,pop,60s","faded,song,beatles"
Shining Song,Beatles,1971,97,"rock,pop,60s","shining,song,beatles"
Burning Song,Beatles,1973,97,"rock,pop,60s","burning,song,beatles"
Rising Song,Beatles,1966,93,"rock,pop,60s","rising,song,beatles"
Blue Track,Beatles,1965,90,"rock,pop,60s","blue,track,beatles"
Red Track,Beatles,1974,87,"rock,pop,60s","red,track,beatles"
Golden Track,Beatles,1968,88,"rock,pop,60s","golden,track,beatles"
Silver Track,Beatles,1970,87,"rock,pop,60s","silver,track,beatles"
Dark Track,Beatles,1966,89,"rock,pop,60s","dark,track,beatles"
Bright Track,Beatles,1970,89,"rock,pop,60s","bright,track,beatles"
Sweet Track,Beatles,1970,88,"rock,pop,60s","sweet,track,beatles"
Wild Track,Beatles,1966,98,"rock,pop,60s","wild,track,beatles"
Free Track,Beatles,1966,88,"rock,pop,60s","free,track,beatles"
Lost Track,Beatles,1967,97,"rock,pop,60s","lost,track,beatles"
Found Track,Beatles,1968,93,"rock,pop,60s","found,track,beatles"
True Track,Beatles,1971,94,"rock,pop,60s","true,track,beatles"
Faded Track,Beatles,1973,86,"rock,pop,60s","faded,track,beatles"
Shining Track,Beatles,1966,99,"rock,pop,60s","shining,track,beatles"
Burning Track,Beatles,1967,90,"rock,pop,60s","burning,track,beatles"
