title,artist,year,popularity,tags,phrases,reason
Blue Song,Beatles,1969,99,"rock,pop,60s","blue,song,beatles","Adjective+Type pattern: ""Blue Song"""
Red Song,Beatles,1966,87,"rock,pop,60s","red,song,beatles","Adjective+Type pattern: ""Red Song"""
Golden Song,Beatles,1967,92,"rock,pop,60s","golden,song,beatles","Adjective+Type pattern: ""Golden Song"""
Silver Song,Beatles,1973,97,"rock,pop,60s","silver,song,beatles","Adjective+Type pattern: ""Silver Song"""
Dark Song,Beatles,1966,90,"rock,pop,60s","dark,song,beatles","Adjective+Type pattern: ""Dark Song"""
Bright Song,Beatles,1974,97,"rock,pop,60s","bright,song,beatles","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Beatles,1973,90,"rock,pop,60s","sweet,song,beatles","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Beatles,1965,95,"rock,pop,60s","wild,song,beatles","Adjective+Type pattern: ""Wild Song"""
Free Song,Beatles,1974,92,"rock,pop,60s","free,song,beatles","Adjective+Type pattern: ""Free Song"""
Lost Song,Beatles,1968,91,"rock,pop,60s","lost,song,beatles","Exact match: ""Lost Song"""
Found Song,Beatles,1972,98,"rock,pop,60s","found,song,beatles","Exact match: ""Found Song"""
True Song,Beatles,1965,95,"rock,pop,60s","true,song,beatles","Exact match: ""True Song"""
Faded Song,Beatles,1971,86,"rock,pop,60s","faded,song,beatles","Adjective+Type pattern: ""Faded Song"""
Shining Song,Beatles,1971,97,"rock,pop,60s","shining,song,beatles","Adjective+Type pattern: ""Shining Song"""
Burning Song,Beatles,1973,97,"rock,pop,60s","burning,song,beatles","Adjective+Type pattern: ""Burning Song"""
Rising Song,Beatles,1966,93,"rock,pop,60s","rising,song,beatles","Adjective+Type pattern: ""Rising Song"""
Blue Track,Beatles,1965,90,"rock,pop,60s","blue,track,beatles","Adjective+Type pattern: ""Blue Track"""
Red Track,Beatles,1974,87,"rock,pop,60s","red,track,beatles","Adjective+Type pattern: ""Red Track"""
Golden Track,Beatles,1968,88,"rock,pop,60s","golden,track,beatles","Adjective+Type pattern: ""Golden Track"""
Silver Track,Beatles,1970,87,"rock,pop,60s","silver,track,beatles","Adjective+Type pattern: ""Silver Track"""
Dark Track,Beatles,1966,89,"rock,pop,60s","dark,track,beatles","Adjective+Type pattern: ""Dark Track"""
Bright Track,Beatles,1970,89,"rock,pop,60s","bright,track,beatles","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Beatles,1970,88,"rock,pop,60s","sweet,track,beatles","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Beatles,1966,98,"rock,pop,60s","wild,track,beatles","Adjective+Type pattern: ""Wild Track"""
Free Track,Beatles,1966,88,"rock,pop,60s","free,track,beatles","Adjective+Type pattern: ""Free Track"""
Lost Track,Beatles,1967,97,"rock,pop,60s","lost,track,beatles","Exact match: ""Lost Track"""
Found Track,Beatles,1968,93,"rock,pop,60s","found,track,beatles","Exact match: ""Found Track"""
True Track,Beatles,1971,94,"rock,pop,60s","true,track,beatles","Exact match: ""True Track"""
Faded Track,Beatles,1973,86,"rock,pop,60s","faded,track,beatles","Adjective+Type pattern: ""Faded Track"""
Shining Track,Beatles,1966,99,"rock,pop,60s","shining,track,beatles","Adjective+Type pattern: ""Shining Track"""
Burning Track,Beatles,1967,90,"rock,pop,60s","burning,track,beatles","Adjective+Type pattern: ""Burning Track"""
Rising Track,Beatles,1973,97,"rock,pop,60s","rising,track,beatles","Adjective+Type pattern: ""Rising Track"""
Blue Anthem,Beatles,1968,87,"rock,pop,60s","blue,anthem,beatles","Adjective+Type pattern: ""Blue Anthem"""
Red Anthem,Beatles,1966,87,"rock,pop,60s","red,anthem,beatles","Adjective+Type pattern: ""Red Anthem"""
Golden Anthem,Beatles,1970,87,"rock,pop,60s","golden,anthem,beatles","Adjective+Type pattern: ""Golden Anthem"""
Silver Anthem,Beatles,1965,85,"rock,pop,60s","silver,anthem,beatles","Adjective+Type pattern: ""Silver Anthem"""
Dark Anthem,Beatles,1968,93,"rock,pop,60s","dark,anthem,beatles","Adjective+Type pattern: ""Dark Anthem"""
Bright Anthem,Beatles,1968,94,"rock,pop,60s","bright,anthem,beatles","Adjective+Type pattern: ""Bright Anthem"""
Sweet Anthem,Beatles,1966,96,"rock,pop,60s","sweet,anthem,beatles","Adjective+Type pattern: ""Sweet Anthem"""
Wild Anthem,Beatles,1974,88,"rock,pop,60s","wild,anthem,beatles","Adjective+Type pattern: ""Wild Anthem"""
Free Anthem,Beatles,1971,95,"rock,pop,60s","free,anthem,beatles","Adjective+Type pattern: ""Free Anthem"""
Lost Anthem,Beatles,1968,91,"rock,pop,60s","lost,anthem,beatles","Adjective+Type pattern: ""Lost Anthem"""
Found Anthem,Beatles,1966,85,"rock,pop,60s","found,anthem,beatles","Adjective+Type pattern: ""Found Anthem"""
True Anthem,Beatles,1971,97,"rock,pop,60s","true,anthem,beatles","Adjective+Type pattern: ""True Anthem"""
Faded Anthem,Beatles,1971,86,"rock,pop,60s","faded,anthem,beatles","Adjective+Type pattern: ""Faded Anthem"""
Shining Anthem,Beatles,1974,94,"rock,pop,60s","shining,anthem,beatles","Adjective+Type pattern: ""Shining Anthem"""
Burning Anthem,Beatles,1970,86,"rock,pop,60s","burning,anthem,beatles","Adjective+Type pattern: ""Burning Anthem"""
Rising Anthem,Beatles,1973,94,"rock,pop,60s","rising,anthem,beatles","Adjective+Type pattern: ""Rising Anthem"""
Blue Hit,Beatles,1969,86,"rock,pop,60s","blue,hit,beatles","Adjective+Type pattern: ""Blue Hit"""
Red Hit,Beatles,1965,98,"rock,pop,60s","red,hit,beatles","Adjective+Type pattern: ""Red Hit"""
Golden Hit,Beatles,1968,97,"rock,pop,60s","golden,hit,beatles","Adjective+Type pattern: ""Golden Hit"""
Silver Hit,Beatles,1971,98,"rock,pop,60s","silver,hit,beatles","Adjective+Type pattern: ""Silver Hit"""
Dark Hit,Beatles,1968,85,"rock,pop,60s","dark,hit,beatles","Adjective+Type pattern: ""Dark Hit"""
Bright Hit,Beatles,1965,88,"rock,pop,60s","bright,hit,beatles","Adjective+Type pattern: ""Bright Hit"""
Sweet Hit,Beatles,1974,90,"rock,pop,60s","sweet,hit,beatles","Adjective+Type pattern: ""Sweet Hit"""
Wild Hit,Beatles,1970,87,"rock,pop,60s","wild,hit,beatles","Adjective+Type pattern: ""Wild Hit"""
Free Hit,Beatles,1966,96,"rock,pop,60s","free,hit,beatles","Adjective+Type pattern: ""Free Hit"""
Lost Hit,Beatles,1967,85,"rock,pop,60s","lost,hit,beatles","Adjective+Type pattern: ""Lost Hit"""
Found Hit,Beatles,1967,90,"rock,pop,60s","found,hit,beatles","Adjective+Type pattern: ""Found Hit"""
True Hit,Beatles,1974,93,"rock,pop,60s","true,hit,beatles","Adjective+Type pattern: ""True Hit"""
Faded Hit,Beatles,1974,99,"rock,pop,60s","faded,hit,beatles","Adjective+Type pattern: ""Faded Hit"""
Shining Hit,Beatles,1967,95,"rock,pop,60s","shining,hit,beatles","Adjective+Type pattern: ""Shining Hit"""
Burning Hit,Beatles,1966,93,"rock,pop,60s","burning,hit,beatles","Adjective+Type pattern: ""Burning Hit"""
Rising Hit,Beatles,1971,99,"rock,pop,60s","rising,hit,beatles","Adjective+Type pattern: ""Rising Hit"""
Blue Tune,Beatles,1967,94,"rock,pop,60s","blue,tune,beatles","Adjective+Type pattern: ""Blue Tune"""
